Datos de Termopar tipo B. Ejemplo 1 
x-Minivoltios (mV), y-Temperatura (°C) 
1.715, 587.0
1.721, 588.0
1.727, 589.0
1.733, 590.0
1.739, 591.0
1.745, 592.0
1.750, 593.0
1.756, 594.0
1.762, 595.0
1.768, 596.0
1.774, 597.0
1.780, 598.0
1.786, 599.0
1.792, 600.0
1.798, 601.0
1.804, 602.0
1.810, 603.0
1.816, 604.0
1.822, 605.0
1.828, 606.0
1.834, 607.0
1.840, 608.0
1.846, 609.0
1.852, 610.0
1.858, 611.0
1.864, 612.0
1.870, 613.0
1.876, 614.0
1.882, 615.0
1.888, 616.0
1.894, 617.0
1.901, 618.0
1.907, 619.0
1.913, 620.0
1.919, 621.0
1.925, 622.0
1.931, 623.0
1.937, 624.0
1.944, 625.0
1.950, 626.0
1.956, 627.0
1.962, 628.0
1.968, 629.0
1.975, 630.0
1.981, 631.0
1.987, 632.0
1.993, 633.0
1.999, 634.0
2.006, 635.0
2.012, 636.0
2.018, 637.0
2.025, 638.0
2.031, 639.0
2.037, 640.0
2.043, 641.0
2.050, 642.0
2.056, 643.0
2.062, 644.0
2.069, 645.0
2.075, 646.0
2.082, 647.0
2.088, 648.0
2.094, 649.0
2.101, 650.0
2.107, 651.0
2.113, 652.0
2.120, 653.0
2.126, 654.0
2.133, 655.0
2.139, 656.0
2.146, 657.0
2.152, 658.0
2.158, 659.0
2.165, 660.0
2.171, 661.0
2.178, 662.0
2.184, 663.0
2.191, 664.0
2.197, 665.0
2.204, 666.0
2.210, 667.0
2.217, 668.0
2.224, 669.0
2.230, 670.0
2.237, 671.0
2.243, 672.0
2.250, 673.0
2.256, 674.0
2.263, 675.0
2.270, 676.0
2.276, 677.0
2.283, 678.0
2.289, 679.0
2.296, 680.0
2.303, 681.0
2.309, 682.0
2.316, 683.0
2.323, 684.0
2.329, 685.0
2.336, 686.0
2.343, 687.0
2.350, 688.0
2.356, 689.0
2.363, 690.0
2.370, 691.0
2.376, 692.0
2.383, 693.0
2.390, 694.0
2.397, 695.0
2.403, 696.0
2.410, 697.0
2.417, 698.0
2.424, 699.0
2.431, 700.0
2.437, 701.0
2.444, 702.0
2.451, 703.0
2.458, 704.0
2.465, 705.0
2.472, 706.0
2.479, 707.0
2.485, 708.0
2.492, 709.0
2.499, 710.0
2.506, 711.0
2.513, 712.0
2.520, 713.0
2.527, 714.0
2.534, 715.0
2.541, 716.0
2.548, 717.0
2.555, 718.0
2.562, 719.0
2.569, 720.0
2.576, 721.0
