Datos de Termopar tipo C. Ejemplo 1 
x-Minivoltios (mV), y-Temperatura (°C) 
8.287, 481.0
8.306, 482.0
8.325, 483.0
8.345, 484.0
8.364, 485.0
8.383, 486.0
8.403, 487.0
8.422, 488.0
8.422, 489.0
8.461, 490.0
8.480, 491.0
8.500, 492.0
8.519, 493.0
8.539, 494.0
8.558, 495.0
8.577, 496.0
8.597, 497.0
8.616, 498.0
8.636, 499.0
8.655, 500.0
8.674, 501.0
8.694, 502.0
8.713, 503.0
8.733, 504.0
8.752, 505.0
8.772, 506.0
8.791, 507.0
8.810, 508.0
8.830, 509.0
8.849, 510.0
8.869, 511.0
8.888, 512.0
8.908, 513.0
8.927, 514.0
8.947, 515.0
8.966, 516.0
8.986, 517.0
9.005, 518.0
9.024, 519.0
9.044, 520.0
9.063, 521.0
9.083, 522.0
9.102, 523.0
9.122, 524.0
9.141, 525.0
9.161, 526.0
9.180, 527.0
9.200, 528.0
9.219, 529.0
9.239, 530.0
9.258, 531.0
9.278, 532.0
9.297, 533.0
9.317, 534.0
9.336, 535.0
9.356, 536.0
9.375, 537.0
9.395, 538.0
9.414, 539.0
9.434, 540.0
9.453, 541.0
9.473, 542.0
9.492, 543.0
9.512, 544.0
9.531, 545.0
9.551, 546.0
9.570, 547.0
9.590, 548.0
9.609, 549.0
9.629, 550.0
9.648, 551.0
9.668, 552.0
9.687, 553.0
9.707, 554.0
9.726, 555.0
9.746, 556.0
9.765, 557.0
9.785, 558.0
9.804, 559.0
9.824, 560.0
9.843, 561.0
9.863, 562.0
9.883, 563.0
9.902, 564.0
9.922, 565.0
9.941, 566.0
9.961, 567.0
9.980, 568.0
10.000, 569.0
10.019, 570.0
10.039, 571.0
10.058, 572.0
10.078, 573.0
10.097, 574.0
10.117, 575.0
10.137, 576.0
10.156, 577.0
10.176, 578.0
10.195, 579.0
10.215, 580.0
10.234, 581.0
10.254, 582.0
10.273, 583.0
10.293, 584.0
10.312, 585.0
10.332, 586.0
10.352, 587.0
10.371, 588.0
10.391, 589.0
10.410, 590.0
10.430, 591.0
10.449, 592.0
10.469, 593.0
10.488, 594.0
10.508, 595.0
10.528, 596.0
10.547, 597.0
10.567, 598.0
10.586, 599.0
10.606, 600.0
10.625, 601.0
10.645, 602.0
10.664, 603.0
10.684, 604.0
10.703, 605.0
10.723, 606.0
10.743, 607.0
10.762, 608.0
10.782, 609.0
10.801, 610.0
10.821, 611.0
10.840, 612.0
10.860, 613.0
10.879, 614.0
10.899, 615.0
10.919, 616.0
10.938, 617.0
10.958, 618.0
10.977, 619.0
10.997, 620.0
11.016, 621.0
11.036, 622.0
11.055, 623.0
11.075, 624.0
11.095, 625.0
11.114, 626.0
11.134, 627.0
11.153, 628.0
11.173, 629.0
11.192, 630.0
11.212, 631.0
11.231, 632.0
11.251, 633.0
11.270, 634.0
11.290, 635.0
11.310, 636.0
11.329, 637.0
11.349, 638.0
11.368, 639.0
11.388, 640.0
11.407, 641.0
11.427, 642.0
11.446, 643.0
11.466, 644.0
11.485, 645.0
11.505, 646.0
11.525, 647.0
11.544, 648.0
11.564, 649.0
11.583, 650.0
11.603, 651.0
11.622, 652.0
11.642, 653.0
11.661, 654.0
11.681, 655.0
11.700, 656.0
11.720, 657.0
11.739, 658.0
11.759, 659.0
11.778, 660.0
11.798, 661.0
11.817, 662.0
11.837, 663.0
11.857, 664.0
11.876, 665.0
11.896, 666.0
11.915, 667.0
11.935, 668.0
11.954, 669.0
11.974, 670.0
11.993, 671.0
12.013, 672.0
12.032, 673.0
12.052, 674.0
12.071, 675.0
12.091, 676.0
12.110, 677.0
12.130, 678.0
12.149, 679.0
12.169, 680.0
12.188, 681.0
12.208, 682.0
12.227, 683.0
12.247, 684.0
12.266, 685.0
12.286, 686.0
12.305, 687.0
12.325, 688.0
12.344, 689.0
12.364, 690.0
12.383, 691.0
12.403, 692.0
12.422, 693.0
12.442, 694.0
12.461, 695.0
12.481, 696.0
12.500, 697.0
12.519, 698.0
12.539, 699.0
12.558, 700.0
12.578, 701.0
12.597, 702.0
12.617, 703.0
12.636, 704.0
12.656, 705.0
12.675, 706.0
12.695, 707.0
12.714, 708.0
12.734, 709.0
12.753, 710.0
12.772, 711.0
12.792, 712.0
12.811, 713.0
12.831, 714.0
12.850, 715.0
12.870, 716.0
12.889, 717.0
12.909, 718.0
12.928, 719.0
12.947, 720.0
12.967, 721.0
12.986, 722.0
13.006, 723.0
13.025, 724.0
13.045, 725.0
13.064, 726.0
13.083, 727.0
13.103, 728.0
13.122, 729.0
13.142, 730.0
13.161, 731.0
13.180, 732.0
13.200, 733.0
13.219, 734.0
13.239, 735.0
13.258, 736.0
13.277, 737.0
13.297, 738.0
13.316, 739.0
13.336, 740.0
13.355, 741.0
13.374, 742.0
13.394, 743.0
13.413, 744.0
13.432, 745.0
13.452, 746.0
13.471, 747.0
13.491, 748.0
13.510, 749.0
13.529, 750.0
13.549, 751.0
13.568, 752.0
13.587, 753.0
13.607, 754.0
13.626, 755.0
13.645, 756.0
13.665, 757.0
13.684, 758.0
13.703, 759.0
13.723, 760.0
13.742, 761.0
13.761, 762.0
13.781, 763.0
13.800, 764.0
13.819, 765.0
13.839, 766.0
13.858, 767.0
13.877, 768.0
13.897, 769.0
13.916, 770.0
13.935, 771.0
13.955, 772.0
13.974, 773.0
13.993, 774.0
14.012, 775.0
14.032, 776.0
14.051, 777.0
14.070, 778.0
14.090, 779.0
14.109, 780.0
14.128, 781.0
14.147, 782.0
14.167, 783.0
14.186, 784.0
14.205, 785.0
14.224, 786.0
14.244, 787.0
14.263, 788.0
14.282, 789.0
14.302, 790.0
14.321, 791.0
14.340, 792.0
14.359, 793.0
14.378, 794.0
14.398, 795.0
14.417, 796.0
14.436, 797.0
14.455, 798.0
14.475, 799.0
14.494, 800.0
14.513, 801.0
14.532, 802.0
14.551, 803.0
14.571, 804.0
14.590, 805.0
14.609, 806.0
14.628, 807.0
14.647, 808.0
14.667, 809.0
14.686, 810.0
14.705, 811.0
14.724, 812.0
14.743, 813.0
14.762, 814.0
14.782, 815.0
14.801, 816.0
14.820, 817.0
14.839, 818.0
14.858, 819.0
14.877, 820.0
14.897, 821.0
14.916, 822.0
14.935, 823.0
14.954, 824.0
14.973, 825.0
14.992, 826.0
15.011, 827.0
15.030, 828.0
15.050, 829.0
15.069, 830.0
15.088, 831.0
15.107, 832.0
15.126, 833.0
15.145, 834.0
15.164, 835.0
15.183, 836.0
15.202, 837.0
15.221, 838.0
15.241, 839.0
15.260, 840.0
15.279, 841.0
15.298, 842.0
15.317, 843.0
15.336, 844.0
15.355, 845.0
15.374, 846.0
15.393, 847.0
15.412, 848.0
15.431, 849.0
15.450, 850.0
15.469, 851.0
15.488, 852.0
15.507, 853.0
15.526, 854.0
15.545, 855.0
15.564, 856.0
15.583, 857.0
15.602, 858.0
15.621, 859.0
15.640, 860.0
15.659, 861.0
15.678, 862.0
15.697, 863.0
